url,location,district,price,currency,offer_type,property_type,area,landArea,privateArea,bathRooms,bedRooms,parking,floors,energeticCertificate,lift,fenced,fractions
https://www.era.pt/imovel/lote-urbano-olhao-quelfes-273240116,Quelfes,Faro,110000.0,1.0,1.0,Lote,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.era.pt/imovel/apartamento-t2-matosinhos-sao-mamede-de-infesta-e-senhora-da-hora-372240282,São Mamede de Infesta e Senhora da Hora,Porto,950.0,1.0,2.0,Apartamento,90.0,0.0,90.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0
https://www.era.pt/imovel/terreno-espinho-silvalde-116240130,Silvalde,Espinho,95000.0,1.0,1.0,Terreno,0.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.era.pt/imovel/moradia-t4-chaves-santa-maria-maior-318240221,Santa Maria Maior,Vila Real,373000.0,1.0,1.0,Moradia,142.0,0.0,177.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0
https://www.era.pt/imovel/apartamento-t3-tomar-tomar-sao-joao-baptista-e-santa-maria-dos-olivais-395240087,Tomar (São João Baptista) e Santa Maria dos Olivais,Santarém,155000.0,1.0,1.0,Apartamento,136.0,0.0,136.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0
https://www.era.pt/imovel/apartamento-t3-matosinhos-matosinhos-sul-054240105,Matosinhos Sul,Matosinhos,1600.0,1.0,2.0,Apartamento,100.0,0.0,106.0,2.0,3.0,0.0,4.0,1.0,1.0,0.0,0.0
https://www.era.pt/imovel/apartamento-t2-coimbra-voimaraes-198240074,Voimarães,Coimbra,950.0,1.0,2.0,Apartamento,80.0,0.0,110.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0
https://www.era.pt/imovel/apartamento-t3-matosinhos-matosinhos-sul-054240104,Matosinhos Sul,Matosinhos,350000.0,1.0,1.0,Apartamento,100.0,0.0,106.0,2.0,3.0,0.0,4.0,1.0,1.0,0.0,0.0
https://www.era.pt/imovel/andar-moradia-t3-cantanhede-sepins-e-bolho-375240051,Sepins e Bolho,Coimbra,95000.0,1.0,1.0,Andar Moradia,140.0,3000.0,164.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.era.pt/imovel/moradia-t2-tomar-tomar-sao-joao-baptista-e-santa-maria-dos-olivais-395240086,Tomar (São João Baptista) e Santa Maria dos Olivais,Santarém,265000.0,1.0,1.0,Moradia,96.0,2160.0,96.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
https://www.era.pt/imovel/moradia-t3-almeirim-070240174,Almeirim,Santarém,86800.0,1.0,1.0,Moradia,0.0,0.0,87.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
https://www.era.pt/imovel/apartamento-t1-porto-antas-123240350,Antas,Porto,187500.0,1.0,1.0,Apartamento,51.0,0.0,55.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
https://www.era.pt/imovel/moradia-t2-lajes-do-pico-calheta-de-nesquim-374240151,Calheta de Nesquim,Ilha do Pico,249900.0,1.0,1.0,Moradia,172.0,955.0,191.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.era.pt/imovel/armazem-lagoa-estombar-e-parchal-359240110,Estômbar e Parchal,Faro,1300000.0,1.0,1.0,Armazém,1948.0,6455.0,1905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.era.pt/imovel/apartamento-t3-moita-baixa-da-banheira-e-vale-da-amoreira-325240075,Baixa da Banheira e Vale da Amoreira,Setúbal,198000.0,1.0,1.0,Apartamento,103.0,0.0,103.0,2.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0
https://www.era.pt/imovel/terreno-cinfaes-sao-cristovao-de-nogueira-282240178,São Cristóvão de Nogueira,Viseu,198000.0,1.0,1.0,Terreno,0.0,11265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.era.pt/imovel/apartamento-t1-porto-carvalhido-123240349,Carvalhido,Porto,800.0,1.0,2.0,Apartamento,50.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
https://www.era.pt/imovel/moradia-t2-evora-centro-historico-324240095,Centro Histórico,Évora,180000.0,1.0,1.0,Moradia,72.0,36.0,72.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
https://www.era.pt/imovel/moradia-geminada-t2-tomar-asseiceira-395240085,Asseiceira,Santarém,175000.0,1.0,1.0,Moradia Geminada,108.0,129.0,108.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
https://www.era.pt/imovel/apartamento-amadora-reboleira-aguas-livres-012240059,"Reboleira, Águas Livres",Amadora,90000.0,1.0,1.0,Apartamento,25.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
https://www.era.pt/imovel/apartamento-t1-amadora-reboleira-aguas-livres-012240058,"Reboleira, Águas Livres",Amadora,125000.0,1.0,1.0,Apartamento,45.0,0.0,41.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
https://www.era.pt/imovel/triplex-t3-luxo-loule-vilamoura-384240060,Vilamoura,Loulé,795000.0,1.0,1.0,Triplex,117.0,0.0,129.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0
https://www.era.pt/imovel/terreno-rustico-agricola-viseu-lordosa-240240190,Lordosa,Viseu,16000.0,1.0,1.0,Terreno Rústico,0.0,5283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.era.pt/imovel/terreno-para-construcao-tomar-serra-e-junceira-395240084,Serra e Junceira,Santarém,0.0,1.0,1.0,Terreno para Construção,0.0,1880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.era.pt/empreendimento/urbanizacao-da-carregosa-3440,"Vidago (Vidago, Arcossó, Selhariz e Vilarinho das Paranheiras)",Vila Real,0.0,1.0,1.0,Moradias,180.0,9001000.0,250.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
https://www.era.pt/imovel/apartamento-t3-amadora-venteira-397240043,Venteira,Lisboa,150000.0,1.0,1.0,Apartamento,0.0,0.0,83.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0
https://www.era.pt/imovel/apartamento-t2-guarda-046240164,Guarda,Guarda,550.0,1.0,2.0,Apartamento,0.0,0.0,72.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
https://www.era.pt/imovel/moradia-castelo-branco-almaceda-102240146,Almaceda,Castelo Branco,72500.0,1.0,1.0,Moradia,89.0,250.0,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
